Calf ID, Strain, Day, Replicate, Plate count, Broth Enrichment
301057, 9000 WT, 0, 1, 0, 0
301057, 9000 WT, 0, 2, 0, 0
301057, 9000 WT, 0, 3, 0, 0
301057, 9000 WT, 1, 1, 130000, NA
301057, 9000 WT, 1, 2, 130000, NA
301057, 9000 WT, 1, 3, 190000, NA
301057, 9000 WT, 2, 1, 72000, NA
301057, 9000 WT, 2, 2, 90000, NA
301057, 9000 WT, 2, 3, 77000, NA
301057, 9000 WT, 3, 1, 36000, NA
301057, 9000 WT, 3, 2, 48000, NA
301057, 9000 WT, 3, 3, 38000, NA
301057, 9000 WT, 4, 1, 25000, NA
301057, 9000 WT, 4, 2, 30000, NA
301057, 9000 WT, 4, 3, 25000, NA
301057, 9000 WT, 5, 1, 16000, NA
301057, 9000 WT, 5, 2, 13000, NA
301057, 9000 WT, 5, 3, 17000, NA
301057, 9000 WT, 6, 1, 80000, NA
301057, 9000 WT, 6, 2, 115000, NA
301057, 9000 WT, 6, 3, 97000, NA
301057, 9000 WT, 7, 1, 69000, NA
301057, 9000 WT, 7, 2, 51000, NA
301057, 9000 WT, 7, 3, 60000, NA
301057, 9000 WT, 8, 1, 45000, NA
301057, 9000 WT, 8, 2, 45000, NA
301057, 9000 WT, 8, 3, 48000, NA
301057, 9000 WT, 9, 1, 67000, NA
301057, 9000 WT, 9, 2, 72000, NA
301057, 9000 WT, 9, 3, 85000, NA
301057, 9000 WT, 10, 1, 82000, NA
301057, 9000 WT, 10, 2, 70000, NA
301057, 9000 WT, 10, 3, 82000, NA
301057, 9000 WT, 11, 1, 18000, NA
301057, 9000 WT, 11, 2, 11000, NA
301057, 9000 WT, 11, 3, 12000, NA
301057, 9000 WT, 12, 1, 22800, NA
301057, 9000 WT, 12, 2, 18700, NA
301057, 9000 WT, 12, 3, 22300, NA
301057, 9000 WT, 13, 1, 800, NA
301057, 9000 WT, 13, 2, 100, NA
301057, 9000 WT, 13, 3, 500, NA
301057, 9000 WT, 14, 1, 200, NA
301057, 9000 WT, 14, 2, 400, NA
301057, 9000 WT, 14, 3, 0, NA
301057, 9000 WT, 15, 1, 0, 10
301057, 9000 WT, 15, 2, 0, 10
301057, 9000 WT, 15, 3, 0, 10
301057, 9000 WT, 16, 1, 300, NA
301057, 9000 WT, 16, 2, 100, NA
301057, 9000 WT, 16, 3, 0, NA
301057, 9000 WT, 17, 1, NA, NA
301057, 9000 WT, 17, 2, NA, NA
301057, 9000 WT, 17, 3, NA, NA
301057, 9000 WT, 18, 1, 400, NA
301057, 9000 WT, 18, 2, 400, NA
301057, 9000 WT, 18, 3, 0, NA
301057, 9000 WT, 20, 1, 0, 10
301057, 9000 WT, 20, 2, 0, 10
301057, 9000 WT, 20, 3, 0, 10
301057, 9000 WT, 22, 1, 0, 10
301057, 9000 WT, 22, 2, 0, 10
301057, 9000 WT, 22, 3, 0, 10
301057, 9000 WT, 24, 1, 0, 10
301057, 9000 WT, 24, 2, 0, 10
301057, 9000 WT, 24, 3, 0, 10
301057, 9000 WT, 25, 1, 700, NA
301057, 9000 WT, 25, 2, 900, NA
301057, 9000 WT, 25, 3, 400, NA
, , , , , 
, , , , , 
, , , , , 
103479, 9000 WT, 0, 1, 0, 10
103479, 9000 WT, 0, 2, 0, 10
103479, 9000 WT, 0, 3, 0, 10
103479, 9000 WT, 1, 1, 290000, NA
103479, 9000 WT, 1, 2, 240000, NA
103479, 9000 WT, 1, 3, 250000, NA
103479, 9000 WT, 2, 1, 340000, NA
103479, 9000 WT, 2, 2, 400000, NA
103479, 9000 WT, 2, 3, 470000, NA
103479, 9000 WT, 3, 1, 270000, NA
103479, 9000 WT, 3, 2, 490000, NA
103479, 9000 WT, 3, 3, 380000, NA
103479, 9000 WT, 4, 1, 770000, NA
103479, 9000 WT, 4, 2, 660000, NA
103479, 9000 WT, 4, 3, 710000, NA
103479, 9000 WT, 5, 1, 550000, NA
103479, 9000 WT, 5, 2, 550000, NA
103479, 9000 WT, 5, 3, 410000, NA
103479, 9000 WT, 6, 1, 1150000, NA
103479, 9000 WT, 6, 2, 1060000, NA
103479, 9000 WT, 6, 3, 1040000, NA
103479, 9000 WT, 7, 1, 120000, NA
103479, 9000 WT, 7, 2, 100000, NA
103479, 9000 WT, 7, 3, 170000, NA
103479, 9000 WT, 8, 1, 62000, NA
103479, 9000 WT, 8, 2, 68000, NA
103479, 9000 WT, 8, 3, 71000, NA
103479, 9000 WT, 9, 1, 11000, NA
103479, 9000 WT, 9, 2, 6000, NA
103479, 9000 WT, 9, 3, 14000, NA
103479, 9000 WT, 10, 1, 29300, NA
103479, 9000 WT, 10, 2, 19300, NA
103479, 9000 WT, 10, 3, 20500, NA
103479, 9000 WT, 11, 1, 4400, NA
103479, 9000 WT, 11, 2, 6900, NA
103479, 9000 WT, 11, 3, 7900, NA
103479, 9000 WT, 12, 1, 3700, NA
103479, 9000 WT, 12, 2, 5200, NA
103479, 9000 WT, 12, 3, 3600, NA
103479, 9000 WT, 13, 1, 4500, NA
103479, 9000 WT, 13, 2, 6000, NA
103479, 9000 WT, 13, 3, 5700, NA
103479, 9000 WT, 14, 1, 5900, NA
103479, 9000 WT, 14, 2, 3400, NA
103479, 9000 WT, 14, 3, 6500, NA
103479, 9000 WT, 15, 1, 2100, NA
103479, 9000 WT, 15, 2, 2200, NA
103479, 9000 WT, 15, 3, 1600, NA
103479, 9000 WT, 16, 1, 6500, NA
103479, 9000 WT, 16, 2, 5100, NA
103479, 9000 WT, 16, 3, 4700, NA
103479, 9000 WT, 17, 1, 3600, NA
103479, 9000 WT, 17, 2, 2700, NA
103479, 9000 WT, 17, 3, 1500, NA
103479, 9000 WT, 18, 1, 4400, NA
103479, 9000 WT, 18, 2, 5700, NA
103479, 9000 WT, 18, 3, 4900, NA
103479, 9000 WT, 20, 1, 4300, NA
103479, 9000 WT, 20, 2, 4900, NA
103479, 9000 WT, 20, 3, 4600, NA
103479, 9000 WT, 22, 1, 300, NA
103479, 9000 WT, 22, 2, 500, NA
103479, 9000 WT, 22, 3, 500, NA
103479, 9000 WT, 24, 1, 100, NA
103479, 9000 WT, 24, 2, 0, NA
103479, 9000 WT, 24, 3, 0, NA
103479, 9000 WT, 25, 1, 2300, NA
103479, 9000 WT, 25, 2, 1900, NA
103479, 9000 WT, 25, 3, 1900, NA
, , , , , 
, , , , , 
, , , , , 
301206, 9000 WT, 0, 1, 100, NA
301206, 9000 WT, 0, 2, 0, NA
301206, 9000 WT, 0, 3, 0, NA
301206, 9000 WT, 1, 1, 460000, NA
301206, 9000 WT, 1, 2, 550000, NA
301206, 9000 WT, 1, 3, 440000, NA
301206, 9000 WT, 2, 1, 42000, NA
301206, 9000 WT, 2, 2, 43000, NA
301206, 9000 WT, 2, 3, 47000, NA
301206, 9000 WT, 3, 1, 22000, NA
301206, 9000 WT, 3, 2, 22000, NA
301206, 9000 WT, 3, 3, 30000, NA
301206, 9000 WT, 4, 1, 2500, NA
301206, 9000 WT, 4, 2, 4000, NA
301206, 9000 WT, 4, 3, 2600, NA
301206, 9000 WT, 5, 1, 4300, NA
301206, 9000 WT, 5, 2, 5400, NA
301206, 9000 WT, 5, 3, 4100, NA
301206, 9000 WT, 6, 1, 7900, NA
301206, 9000 WT, 6, 2, 7300, NA
301206, 9000 WT, 6, 3, 10100, NA
301206, 9000 WT, 7, 1, 1300, NA
301206, 9000 WT, 7, 2, 1600, NA
301206, 9000 WT, 7, 3, 1700, NA
301206, 9000 WT, 8, 1, 1600, NA
301206, 9000 WT, 8, 2, 1800, NA
301206, 9000 WT, 8, 3, 1400, NA
301206, 9000 WT, 9, 1, 600, NA
301206, 9000 WT, 9, 2, 900, NA
301206, 9000 WT, 9, 3, 600, NA
301206, 9000 WT, 10, 1, 200, NA
301206, 9000 WT, 10, 2, 100, NA
301206, 9000 WT, 10, 3, 800, NA
301206, 9000 WT, 11, 1, 1000, NA
301206, 9000 WT, 11, 2, 300, NA
301206, 9000 WT, 11, 3, 400, NA
301206, 9000 WT, 12, 1, 100, NA
301206, 9000 WT, 12, 2, 0, NA
301206, 9000 WT, 12, 3, 0, NA
301206, 9000 WT, 13, 1, 4300, NA
301206, 9000 WT, 13, 2, 4800, NA
301206, 9000 WT, 13, 3, 3600, NA
301206, 9000 WT, 14, 1, 8200, NA
301206, 9000 WT, 14, 2, 9000, NA
301206, 9000 WT, 14, 3, 9400, NA
301206, 9000 WT, 15, 1, 3000, NA
