Calf ID,Strain,Day,Replicate,Plate count,Broth Enrichment
301057,9000 WT,0,1,0.00E+00,0
301057,9000 WT,0,2,0.00E+00,0
301057,9000 WT,0,3,0.00E+00,0
301057,9000 WT,1,1,1.30E+05,na
301057,9000 WT,1,2,1.30E+05,na
301057,9000 WT,1,3,1.90E+05,na
301057,9000 WT,2,1,7.20E+04,na
301057,9000 WT,2,2,9.00E+04,na
301057,9000 WT,2,3,7.70E+04,na
301057,9000 WT,3,1,3.60E+04,na
301057,9000 WT,3,2,4.80E+04,na
301057,9000 WT,3,3,3.80E+04,na
301057,9000 WT,4,1,2.50E+04,na
301057,9000 WT,4,2,3.00E+04,na
301057,9000 WT,4,3,2.50E+04,na
301057,9000 WT,5,1,1.60E+04,na
301057,9000 WT,5,2,1.30E+04,na
301057,9000 WT,5,3,1.70E+04,na
301057,9000 WT,6,1,8.00E+04,na
301057,9000 WT,6,2,1.15E+05,na
301057,9000 WT,6,3,9.70E+04,na
301057,9000 WT,7,1,6.90E+04,na
301057,9000 WT,7,2,5.10E+04,na
301057,9000 WT,7,3,6.00E+04,na
301057,9000 WT,8,1,4.50E+04,na
301057,9000 WT,8,2,4.50E+04,na
301057,9000 WT,8,3,4.80E+04,na
301057,9000 WT,9,1,6.70E+04,na
301057,9000 WT,9,2,7.20E+04,na
301057,9000 WT,9,3,8.50E+04,na
301057,9000 WT,10,1,8.20E+04,na
301057,9000 WT,10,2,7.00E+04,na
301057,9000 WT,10,3,8.20E+04,na
301057,9000 WT,11,1,1.80E+04,na
301057,9000 WT,11,2,1.10E+04,na
301057,9000 WT,11,3,1.20E+04,na
301057,9000 WT,12,1,2.28E+04,na
301057,9000 WT,12,2,1.87E+04,na
301057,9000 WT,12,3,2.23E+04,na
301057,9000 WT,13,1,8.00E+02,na
301057,9000 WT,13,2,1.00E+02,na
301057,9000 WT,13,3,5.00E+02,na
301057,9000 WT,14,1,2.00E+02,na
301057,9000 WT,14,2,4.00E+02,na
301057,9000 WT,14,3,0.00E+00,na
301057,9000 WT,15,1,0.00E+00,10
301057,9000 WT,15,2,0.00E+00,10
301057,9000 WT,15,3,0.00E+00,10
301057,9000 WT,16,1,3.00E+02,na
301057,9000 WT,16,2,1.00E+02,na
301057,9000 WT,16,3,0.00E+00,na
301057,9000 WT,17,1,,
301057,9000 WT,17,2,,
301057,9000 WT,17,3,,
301057,9000 WT,18,1,4.00E+02,na
301057,9000 WT,18,2,4.00E+02,na
301057,9000 WT,18,3,0.00E+00,na
301057,9000 WT,20,1,0.00E+00,10
301057,9000 WT,20,2,0.00E+00,10
301057,9000 WT,20,3,0.00E+00,10
301057,9000 WT,22,1,0.00E+00,10
301057,9000 WT,22,2,0.00E+00,10
301057,9000 WT,22,3,0.00E+00,10
301057,9000 WT,24,1,0.00E+00,10
301057,9000 WT,24,2,0.00E+00,10
301057,9000 WT,24,3,0.00E+00,10
301057,9000 WT,25,1,7.00E+02,na
301057,9000 WT,25,2,9.00E+02,na
301057,9000 WT,25,3,4.00E+02,na
,,,,,
,,,,,
,,,,,
103479,9000 WT,0,1,0.00E+00,10
103479,9000 WT,0,2,0.00E+00,10
103479,9000 WT,0,3,0.00E+00,10
103479,9000 WT,1,1,2.90E+05,na
103479,9000 WT,1,2,2.40E+05,na
103479,9000 WT,1,3,2.50E+05,na
103479,9000 WT,2,1,3.40E+05,na
103479,9000 WT,2,2,4.00E+05,na
103479,9000 WT,2,3,4.70E+05,na
103479,9000 WT,3,1,2.70E+05,na
103479,9000 WT,3,2,4.90E+05,na
103479,9000 WT,3,3,3.80E+05,na
103479,9000 WT,4,1,7.70E+05,na
103479,9000 WT,4,2,6.60E+05,na
103479,9000 WT,4,3,7.10E+05,na
103479,9000 WT,5,1,5.50E+05,na
103479,9000 WT,5,2,5.50E+05,na
103479,9000 WT,5,3,4.10E+05,na
103479,9000 WT,6,1,1.15E+06,na
103479,9000 WT,6,2,1.06E+06,na
103479,9000 WT,6,3,1.04E+06,na
103479,9000 WT,7,1,1.20E+05,na
103479,9000 WT,7,2,1.00E+05,na
103479,9000 WT,7,3,1.70E+05,na
103479,9000 WT,8,1,6.20E+04,na
103479,9000 WT,8,2,6.80E+04,na
103479,9000 WT,8,3,7.10E+04,na
103479,9000 WT,9,1,1.10E+04,na
103479,9000 WT,9,2,6.00E+03,na
103479,9000 WT,9,3,1.40E+04,na
103479,9000 WT,10,1,2.93E+04,na
103479,9000 WT,10,2,1.93E+04,na
103479,9000 WT,10,3,2.05E+04,na
103479,9000 WT,11,1,4.40E+03,na
103479,9000 WT,11,2,6.90E+03,na
103479,9000 WT,11,3,7.90E+03,na
103479,9000 WT,12,1,3.70E+03,na
103479,9000 WT,12,2,5.20E+03,na
103479,9000 WT,12,3,3.60E+03,na
103479,9000 WT,13,1,4.50E+03,na
103479,9000 WT,13,2,6.00E+03,na
103479,9000 WT,13,3,5.70E+03,na
103479,9000 WT,14,1,5.90E+03,na
103479,9000 WT,14,2,3.40E+03,na
103479,9000 WT,14,3,6.50E+03,na
103479,9000 WT,15,1,2.10E+03,na
103479,9000 WT,15,2,2.20E+03,na
103479,9000 WT,15,3,1.60E+03,na
103479,9000 WT,16,1,6.50E+03,na
103479,9000 WT,16,2,5.10E+03,na
103479,9000 WT,16,3,4.70E+03,na
103479,9000 WT,17,1,3.60E+03,na
103479,9000 WT,17,2,2.70E+03,na
103479,9000 WT,17,3,1.50E+03,na
103479,9000 WT,18,1,4.40E+03,na
103479,9000 WT,18,2,5.70E+03,na
103479,9000 WT,18,3,4.90E+03,na
103479,9000 WT,20,1,4.30E+03,na
103479,9000 WT,20,2,4.90E+03,na
103479,9000 WT,20,3,4.60E+03,na
103479,9000 WT,22,1,3.00E+02,na
103479,9000 WT,22,2,5.00E+02,na
103479,9000 WT,22,3,5.00E+02,na
103479,9000 WT,24,1,1.00E+02,na
103479,9000 WT,24,2,0.00E+00,na
103479,9000 WT,24,3,0.00E+00,na
103479,9000 WT,25,1,2.30E+03,na
103479,9000 WT,25,2,1.90E+03,na
103479,9000 WT,25,3,1.90E+03,na
,,,,,
,,,,,
,,,,,
301206,9000 WT,0,1,1.00E+02,na
301206,9000 WT,0,2,0.00E+00,na
301206,9000 WT,0,3,0.00E+00,na
301206,9000 WT,1,1,4.60E+05,na
301206,9000 WT,1,2,5.50E+05,na
301206,9000 WT,1,3,4.40E+05,na
301206,9000 WT,2,1,4.20E+04,na
301206,9000 WT,2,2,4.30E+04,na
301206,9000 WT,2,3,4.70E+04,na
301206,9000 WT,3,1,2.20E+04,na
301206,9000 WT,3,2,2.20E+04,na
301206,9000 WT,3,3,3.00E+04,na
301206,9000 WT,4,1,2.50E+03,na
301206,9000 WT,4,2,4.00E+03,na
301206,9000 WT,4,3,2.60E+03,na
301206,9000 WT,5,1,4.30E+03,na
301206,9000 WT,5,2,5.40E+03,na
301206,9000 WT,5,3,4.10E+03,na
301206,9000 WT,6,1,7.90E+03,na
301206,9000 WT,6,2,7.30E+03,na
301206,9000 WT,6,3,1.01E+04,na
301206,9000 WT,7,1,1.30E+03,na
301206,9000 WT,7,2,1.60E+03,na
301206,9000 WT,7,3,1.70E+03,na
301206,9000 WT,8,1,1.60E+03,na
301206,9000 WT,8,2,1.80E+03,na
301206,9000 WT,8,3,1.40E+03,na
301206,9000 WT,9,1,6.00E+02,na
301206,9000 WT,9,2,9.00E+02,na
301206,9000 WT,9,3,6.00E+02,na
301206,9000 WT,10,1,2.00E+02,na
301206,9000 WT,10,2,1.00E+02,na
301206,9000 WT,10,3,8.00E+02,na
301206,9000 WT,11,1,1.00E+03,na
301206,9000 WT,11,2,3.00E+02,na
301206,9000 WT,11,3,4.00E+02,na
301206,9000 WT,12,1,1.00E+02,na
301206,9000 WT,12,2,0.00E+00,na
301206,9000 WT,12,3,0.00E+00,na
301206,9000 WT,13,1,4.30E+03,na
301206,9000 WT,13,2,4.80E+03,na
301206,9000 WT,13,3,3.60E+03,na
301206,9000 WT,14,1,8.20E+03,na
301206,9000 WT,14,2,9.00E+03,na
301206,9000 WT,14,3,9.40E+03,na
301206,9000 WT,15,1,3.00E+03,na
301206,9000 WT,15,2,4.70E+03,na
301206,9000 WT,15,3,3.70E+03,na
301206,9000 WT,16,1,4.00E+03,na
301206,9000 WT,16,2,2.50E+03,na
301206,9000 WT,16,3,3.50E+03,na
301206,9000 WT,17,1,,
301206,9000 WT,17,2,,
301206,9000 WT,17,3,,
301206,9000 WT,18,1,2.50E+03,na
301206,9000 WT,18,2,3.00E+03,na
301206,9000 WT,18,3,2.60E+03,na
301206,9000 WT,20,1,1.70E+03,na
301206,9000 WT,20,2,1.40E+03,na
301206,9000 WT,20,3,2.00E+03,na
301206,9000 WT,22,1,1.59E+04,na
301206,9000 WT,22,2,2.14E+04,na
301206,9000 WT,22,3,2.17E+04,na
301206,9000 WT,24,1,8.00E+02,na
301206,9000 WT,24,2,5.00E+02,na
301206,9000 WT,24,3,1.00E+02,na
301206,9000 WT,25,1,1.22E+04,na
301206,9000 WT,25,2,1.06E+04,na
301206,9000 WT,25,3,1.37E+04,na
,,,,,
,,,,,
,,,,,
301098,9000 WT,0,1,0.00E+00,0
301098,9000 WT,0,2,0.00E+00,0
301098,9000 WT,0,3,0.00E+00,0
301098,9000 WT,1,1,1.80E+04,na
301098,9000 WT,1,2,2.50E+04,na
301098,9000 WT,1,3,2.20E+04,na
301098,9000 WT,2,1,4.20E+04,na
301098,9000 WT,2,2,6.20E+04,na
301098,9000 WT,2,3,4.70E+04,na
301098,9000 WT,3,1,2.00E+04,na
301098,9000 WT,3,2,2.20E+04,na
301098,9000 WT,3,3,1.70E+04,na
301098,9000 WT,4,1,9.70E+04,na
301098,9000 WT,4,2,1.23E+05,na
301098,9000 WT,4,3,1.25E+05,na
301098,9000 WT,5,1,2.20E+04,na
301098,9000 WT,5,2,2.70E+04,na
301098,9000 WT,5,3,2.10E+04,na
301098,9000 WT,6,1,4.90E+04,na
301098,9000 WT,6,2,5.30E+04,na
301098,9000 WT,6,3,6.70E+04,na
301098,9000 WT,7,1,1.47E+05,na
301098,9000 WT,7,2,1.64E+05,na
301098,9000 WT,7,3,1.64E+05,na
301098,9000 WT,8,1,1.70E+04,na
301098,9000 WT,8,2,1.50E+04,na
301098,9000 WT,8,3,1.70E+04,na
301098,9000 WT,9,1,2.00E+04,na
301098,9000 WT,9,2,1.00E+04,na
301098,9000 WT,9,3,1.80E+04,na
301098,9000 WT,10,1,2.80E+04,na
301098,9000 WT,10,2,2.80E+04,na
301098,9000 WT,10,3,3.90E+04,na
301098,9000 WT,11,1,2.10E+03,na
301098,9000 WT,11,2,1.10E+04,na
301098,9000 WT,11,3,5.90E+03,na
301098,9000 WT,12,1,1.00E+02,na
301098,9000 WT,12,2,1.00E+02,na
301098,9000 WT,12,3,3.00E+02,na
301098,9000 WT,13,1,1.00E+02,na
301098,9000 WT,13,2,4.00E+02,na
301098,9000 WT,13,3,5.00E+02,na
301098,9000 WT,14,1,8.00E+02,na
301098,9000 WT,14,2,7.00E+02,na
301098,9000 WT,14,3,6.00E+02,na
301098,9000 WT,15,1,3.00E+02,na
301098,9000 WT,15,2,2.00E+02,na
301098,9000 WT,15,3,2.00E+02,na
301098,9000 WT,16,1,2.00E+02,na
301098,9000 WT,16,2,4.00E+02,na
301098,9000 WT,16,3,6.00E+02,na
301098,9000 WT,17,1,,
301098,9000 WT,17,2,,
301098,9000 WT,17,3,,
301098,9000 WT,18,1,0.00E+00,1
301098,9000 WT,18,2,0.00E+00,1
301098,9000 WT,18,3,0.00E+00,1
301098,9000 WT,20,1,0.00E+00,1
301098,9000 WT,20,2,0.00E+00,1
301098,9000 WT,20,3,0.00E+00,1
301098,9000 WT,22,1,1.00E+02,na
301098,9000 WT,22,2,0.00E+00,na
301098,9000 WT,22,3,0.00E+00,na
301098,9000 WT,24,1,0.00E+00,1
301098,9000 WT,24,2,0.00E+00,1
301098,9000 WT,24,3,0.00E+00,1
301098,9000 WT,25,1,6.00E+02,na
301098,9000 WT,25,2,5.00E+02,na
301098,9000 WT,25,3,1.40E+03,na
,,,,,
,,,,,
,,,,,
101874,9000 R2.0,0,1,0.00E+00,na
101874,9000 R2.0,0,2,0.00E+00,na
101874,9000 R2.0,0,3,0.00E+00,na
101874,9000 R2.0,1,1,1.00E+04,na
101874,9000 R2.0,1,2,3.00E+04,na
101874,9000 R2.0,1,3,4.00E+04,na
101874,9000 R2.0,2,1,8.00E+03,na
101874,9000 R2.0,2,2,1.00E+04,na
101874,9000 R2.0,2,3,1.20E+04,na
101874,9000 R2.0,3,1,1.00E+03,na
101874,9000 R2.0,3,2,2.00E+03,na
101874,9000 R2.0,3,3,2.00E+03,na
101874,9000 R2.0,4,1,4.00E+02,na
101874,9000 R2.0,4,2,5.00E+02,na
101874,9000 R2.0,4,3,6.00E+02,na
101874,9000 R2.0,5,1,4.00E+02,na
101874,9000 R2.0,5,2,5.00E+02,na
101874,9000 R2.0,5,3,2.00E+02,na
101874,9000 R2.0,6,1,3.00E+02,na
101874,9000 R2.0,6,2,5.00E+02,na
101874,9000 R2.0,6,3,8.00E+02,na
101874,9000 R2.0,7,1,3.00E+02,na
101874,9000 R2.0,7,2,3.00E+02,na
101874,9000 R2.0,7,3,2.00E+02,na
101874,9000 R2.0,8,1,1.20E+03,na
101874,9000 R2.0,8,2,8.00E+02,na
101874,9000 R2.0,8,3,7.00E+02,na
101874,9000 R2.0,9,1,3.00E+02,na
101874,9000 R2.0,9,2,1.00E+02,na
101874,9000 R2.0,9,3,3.00E+02,na
101874,9000 R2.0,10,1,6.00E+02,na
101874,9000 R2.0,10,2,4.00E+02,na
101874,9000 R2.0,10,3,4.00E+02,na
101874,9000 R2.0,11,1,0.00E+00,10
101874,9000 R2.0,11,2,0.00E+00,10
101874,9000 R2.0,11,3,0.00E+00,10
101874,9000 R2.0,12,1,2.00E+02,na
101874,9000 R2.0,12,2,1.00E+02,na
101874,9000 R2.0,12,3,0.00E+00,na
101874,9000 R2.0,13,1,1.00E+02,na
101874,9000 R2.0,13,2,1.00E+02,na
101874,9000 R2.0,13,3,4.00E+02,na
101874,9000 R2.0,14,1,6.00E+02,na
101874,9000 R2.0,14,2,6.00E+02,na
101874,9000 R2.0,14,3,5.00E+02,na
101874,9000 R2.0,15,1,0.00E+00,10
101874,9000 R2.0,15,2,0.00E+00,10
101874,9000 R2.0,15,3,0.00E+00,10
101874,9000 R2.0,16,1,4.00E+02,na
101874,9000 R2.0,16,2,3.00E+02,na
101874,9000 R2.0,16,3,4.00E+02,na
101874,9000 R2.0,17,1,4.00E+02,na
101874,9000 R2.0,17,2,2.00E+02,na
101874,9000 R2.0,17,3,5.00E+02,na
101874,9000 R2.0,18,1,3.00E+02,na
101874,9000 R2.0,18,2,3.00E+02,na
101874,9000 R2.0,18,3,6.00E+02,na
101874,9000 R2.0,20,1,5.00E+02,na
101874,9000 R2.0,20,2,4.00E+02,na
101874,9000 R2.0,20,3,5.00E+02,na
101874,9000 R2.0,22,1,2.70E+03,na
101874,9000 R2.0,22,2,2.40E+03,na
101874,9000 R2.0,22,3,3.00E+03,na
101874,9000 R2.0,24,1,8.00E+02,na
101874,9000 R2.0,24,2,1.20E+03,na
101874,9000 R2.0,24,3,7.00E+02,na
101874,9000 R2.0,25,1,1.60E+03,na
101874,9000 R2.0,25,2,1.00E+03,na
101874,9000 R2.0,25,3,8.00E+02,na
,,,,,
,,,,,
,,,,,
301451,9000 R2.0,0,1,0.00E+00,na
301451,9000 R2.0,0,2,0.00E+00,na
301451,9000 R2.0,0,3,0.00E+00,na
301451,9000 R2.0,1,1,7.00E+04,na
301451,9000 R2.0,1,2,5.00E+04,na
301451,9000 R2.0,1,3,0.00E+00,na
301451,9000 R2.0,2,1,2.00E+03,na
301451,9000 R2.0,2,2,2.00E+03,na
301451,9000 R2.0,2,3,0.00E+00,na
301451,9000 R2.0,3,1,8.00E+03,na
301451,9000 R2.0,3,2,1.00E+04,na
301451,9000 R2.0,3,3,8.00E+03,na
301451,9000 R2.0,4,1,2.00E+02,na
301451,9000 R2.0,4,2,5.00E+02,na
301451,9000 R2.0,4,3,7.00E+02,na
301451,9000 R2.0,5,1,1.00E+03,na
301451,9000 R2.0,5,2,1.50E+03,na
301451,9000 R2.0,5,3,4.00E+02,na
301451,9000 R2.0,6,1,7.00E+02,na
301451,9000 R2.0,6,2,1.70E+03,na
301451,9000 R2.0,6,3,3.00E+02,na
301451,9000 R2.0,7,1,0.00E+00,na
301451,9000 R2.0,7,2,1.00E+02,na
301451,9000 R2.0,7,3,1.00E+02,na
301451,9000 R2.0,8,1,0.00E+00,na
301451,9000 R2.0,8,2,0.00E+00,na
301451,9000 R2.0,8,3,1.00E+02,na
301451,9000 R2.0,9,1,1.00E+02,na
301451,9000 R2.0,9,2,5.00E+02,na
301451,9000 R2.0,9,3,2.00E+02,na
301451,9000 R2.0,10,1,0.00E+00,10
301451,9000 R2.0,10,2,0.00E+00,10
301451,9000 R2.0,10,3,0.00E+00,10
301451,9000 R2.0,11,1,0.00E+00,10
301451,9000 R2.0,11,2,0.00E+00,10
301451,9000 R2.0,11,3,0.00E+00,10
301451,9000 R2.0,12,1,0.00E+00,10
301451,9000 R2.0,12,2,0.00E+00,10
301451,9000 R2.0,12,3,0.00E+00,10
301451,9000 R2.0,13,1,3.00E+02,na
301451,9000 R2.0,13,2,0.00E+00,na
301451,9000 R2.0,13,3,2.00E+02,na
301451,9000 R2.0,14,1,0.00E+00,10
301451,9000 R2.0,14,2,0.00E+00,10
301451,9000 R2.0,14,3,0.00E+00,10
301451,9000 R2.0,15,1,0.00E+00,10
301451,9000 R2.0,15,2,0.00E+00,10
301451,9000 R2.0,15,3,0.00E+00,10
301451,9000 R2.0,16,1,0.00E+00,0
301451,9000 R2.0,16,2,0.00E+00,0
301451,9000 R2.0,16,3,0.00E+00,0
301451,9000 R2.0,17,1,0.00E+00,0
301451,9000 R2.0,17,2,0.00E+00,0
301451,9000 R2.0,17,3,0.00E+00,0
301451,9000 R2.0,18,1,0.00E+00,10
301451,9000 R2.0,18,2,0.00E+00,10
301451,9000 R2.0,18,3,0.00E+00,10
301451,9000 R2.0,20,1,0.00E+00,10
301451,9000 R2.0,20,2,0.00E+00,10
301451,9000 R2.0,20,3,0.00E+00,10
