Calf_ID, Strain, Day, Replicate, Plate_count, Broth_Enrichment
a21, A, 0, 1, 0, 0
a21, A, 0, 2, 0, 0
a21, A, 0, 3, 0, 0
a21, A, 1, 1, 0, 0
a21, A, 1, 2, 0, 0
a21, A, 1, 3, 0, 0
a21, A, 2, 1, 0, 0
a21, A, 2, 2, 0, 0
a21, A, 2, 3, 0, 0
a21, A, 3, 1, 0, 0
a21, A, 3, 2, 0, 0
a21, A, 3, 3, 0, 0
a21, A, 4, 1, 0, 10
a21, A, 4, 2, 0, 10
a21, A, 4, 3, 0, 10
a21, A, 5, 1, 0, 0
a21, A, 5, 2, 0, 0
a21, A, 5, 3, 0, 0
a21, A, 6, 1, 0, 0
a21, A, 6, 2, 0, 0
a21, A, 6, 3, 0, 0
a21, A, 7, 1, 0, 0
a21, A, 7, 2, 0, 0
a21, A, 7, 3, 0, 0
a21, A, 8, 1, 0, 0
a21, A, 8, 2, 0, 0
a21, A, 8, 3, 0, 0
a21, A, 9, 1, NA, NA
a21, A, 9, 2, NA, NA
a21, A, 9, 3, NA, NA
a21, A, 10, 1, NA, NA
a21, A, 10, 2, NA, NA
a21, A, 10, 3, NA, NA
a21, A, 11, 1, NA, NA
a21, A, 11, 2, NA, NA
a21, A, 11, 3, NA, NA
a21, A, 12, 1, NA, NA
a21, A, 12, 2, NA, NA
a21, A, 12, 3, NA, NA
a21, A, 13, 1, NA, NA
a21, A, 13, 2, NA, NA
a21, A, 13, 3, NA, NA
a21, A, 15, 1, NA, NA
a21, A, 15, 2, NA, NA
a21, A, 15, 3, NA, NA
a21, A, 16, 1, NA, NA
a21, A, 16, 2, NA, NA
a21, A, 16, 3, NA, NA
a21, A, 17, 1, NA, NA
a21, A, 17, 2, NA, NA
a21, A, 17, 3, NA, NA
a21, A, 18, 1, NA, NA
a21, A, 18, 2, NA, NA
a21, A, 18, 3, NA, NA
a22, A, 0, 1, 0, 0
a22, A, 0, 2, 0, 0
a22, A, 0, 3, 0, 0
a22, A, 1, 1, 0, 0
a22, A, 1, 2, 0, 0
a22, A, 1, 3, 0, 0
a22, A, 2, 1, 0, 0
a22, A, 2, 2, 0, 0
a22, A, 2, 3, 0, 0
a22, A, 3, 1, 0, 0
a22, A, 3, 2, 0, 0
a22, A, 3, 3, 0, 0
a22, A, 4, 1, 0, 0
a22, A, 4, 2, 0, 0
a22, A, 4, 3, 0, 0
a22, A, 5, 1, 0, 10
a22, A, 5, 2, 0, 10
a22, A, 5, 3, 0, 10
a22, A, 6, 1, 0, 0
a22, A, 6, 2, 0, 0
a22, A, 6, 3, 0, 0
